sec,luminance,rms_contrast,motion,edges,cuts,saturation
99,0.30456,0.22346,0.01078,0.40100,0.00000,0.34744
100,0.30668,0.22280,0.01403,0.40201,0.00000,0.35029
101,0.31029,0.22169,0.00941,0.40269,0.00000,0.35141
102,0.30635,0.21733,0.03217,0.28303,1.00000,0.35271
103,0.30710,0.21599,0.00973,0.15873,0.00000,0.35163
104,0.31091,0.21763,0.00895,0.15515,0.00000,0.35000
105,0.30930,0.21694,0.01360,0.15793,0.00000,0.35286
106,0.29992,0.21441,0.02677,0.18761,0.00000,0.34597
107,0.30401,0.21648,0.01704,0.19547,0.00000,0.33789
108,0.30970,0.21581,0.01537,0.19008,0.00000,0.33410
109,0.30730,0.21188,0.01475,0.18992,0.00000,0.33895
110,0.30649,0.21169,0.01405,0.17755,0.00000,0.34647
111,0.29916,0.21016,0.01831,0.17976,0.00000,0.35233
112,0.28631,0.20898,0.01846,0.17633,0.00000,0.35582
113,0.26661,0.19800,0.02032,0.17696,0.00000,0.37692
114,0.25474,0.18979,0.02736,0.18870,0.00000,0.40199
115,0.24139,0.17741,0.03566,0.20460,0.00000,0.42427
116,0.24952,0.16913,0.05730,0.21974,1.00000,0.43239
117,0.33929,0.20152,0.00839,0.27141,0.00000,0.36122
118,0.34624,0.20338,0.01250,0.27093,0.00000,0.35540
119,0.35042,0.20363,0.00782,0.27370,0.00000,0.35551
120,0.27932,0.19610,0.04742,0.33236,0.00000,0.28661
121,0.27175,0.19949,0.02758,0.32472,0.00000,0.28574
122,0.27177,0.20530,0.04257,0.28350,0.00000,0.29160
123,0.30030,0.21096,0.04157,0.29965,0.00000,0.28915
124,0.29401,0.20129,0.05390,0.31938,0.00000,0.31053
125,0.28234,0.19153,0.06525,0.27953,0.00000,0.35409
126,0.31526,0.20283,0.04333,0.26841,0.00000,0.36776
127,0.32128,0.20132,0.03855,0.28605,0.00000,0.36375
128,0.32202,0.19688,0.03340,0.30844,0.00000,0.35345
129,0.32080,0.19268,0.02783,0.30923,0.00000,0.36608
130,0.33002,0.19836,0.02120,0.29627,0.00000,0.36363
131,0.30846,0.19955,0.02449,0.28324,0.00000,0.35044
132,0.31209,0.19735,0.00943,0.28785,0.00000,0.35531
133,0.30716,0.19608,0.00701,0.29013,0.00000,0.35672
134,0.30423,0.19559,0.00478,0.29422,0.00000,0.35492
135,0.23441,0.18355,0.03236,0.23814,1.00000,0.35866
136,0.23328,0.18402,0.00501,0.23492,0.00000,0.35975
137,0.23191,0.18392,0.00597,0.23064,0.00000,0.36100
138,0.22919,0.18267,0.00648,0.23086,0.00000,0.36288
139,0.22506,0.18081,0.00526,0.22811,0.00000,0.36616
140,0.38194,0.19158,0.05024,0.29332,0.00000,0.43473
141,0.38166,0.18944,0.01169,0.30186,0.00000,0.43673
142,0.37973,0.19424,0.01479,0.29566,0.00000,0.42868
143,0.32942,0.20368,0.04472,0.28770,0.00000,0.41810
144,0.30888,0.20856,0.01351,0.28684,0.00000,0.40769
145,0.30361,0.20018,0.06042,0.27421,1.00000,0.41023
146,0.19916,0.11907,0.01065,0.24093,0.00000,0.48925
147,0.20134,0.12153,0.01903,0.24434,0.00000,0.48341
148,0.20290,0.13017,0.01433,0.24059,0.00000,0.47803
149,0.20965,0.13603,0.01095,0.24372,0.00000,0.47754
150,0.21010,0.13001,0.02248,0.25061,0.00000,0.48505
151,0.21212,0.13146,0.01280,0.25676,0.00000,0.48132
152,0.21079,0.12872,0.01450,0.25400,0.00000,0.48931
153,0.21155,0.12642,0.04663,0.29371,1.00000,0.26936
154,0.20255,0.12396,0.02768,0.28198,0.00000,0.26552
155,0.19150,0.11761,0.02419,0.26096,0.00000,0.26297
156,0.18376,0.11319,0.02017,0.24879,0.00000,0.26241
157,0.17821,0.10863,0.01460,0.23951,0.00000,0.26338
158,0.21726,0.11788,0.04317,0.25758,0.00000,0.27652
159,0.30235,0.14284,0.05475,0.30521,0.00000,0.29914
160,0.31729,0.15458,0.07472,0.27503,0.00000,0.27354
161,0.30303,0.16241,0.07798,0.28646,0.00000,0.24326
162,0.25875,0.15669,0.09586,0.30924,0.00000,0.26269
163,0.23978,0.14041,0.07574,0.31294,0.00000,0.28194
164,0.24568,0.13676,0.06619,0.31654,0.00000,0.29982
165,0.23686,0.14810,0.06346,0.31877,0.00000,0.28864
166,0.23293,0.14781,0.06666,0.33282,0.00000,0.27741
167,0.24050,0.14359,0.06381,0.36406,0.00000,0.28537
168,0.23942,0.14768,0.05217,0.34810,0.00000,0.28207
169,0.23858,0.14623,0.02906,0.33520,0.00000,0.29682
170,0.23970,0.14691,0.02363,0.33283,0.00000,0.30135
171,0.23800,0.14668,0.03142,0.32804,0.00000,0.30805
172,0.28475,0.18592,0.04564,0.27812,1.00000,0.41606
173,0.31303,0.20510,0.00630,0.25684,0.00000,0.46322
174,0.33103,0.20526,0.04842,0.29203,0.00000,0.46307
175,0.33118,0.21216,0.08922,0.33917,0.00000,0.45485
176,0.30469,0.20104,0.09657,0.37940,0.00000,0.48021
177,0.28944,0.18910,0.05819,0.39023,0.00000,0.48153
178,0.29083,0.18933,0.01333,0.40018,0.00000,0.48546
179,0.28398,0.18566,0.03191,0.37497,0.00000,0.49748
180,0.25892,0.17274,0.03733,0.33483,0.00000,0.52466
181,0.26276,0.17704,0.04225,0.32672,0.00000,0.54842
182,0.26870,0.18104,0.01149,0.31985,0.00000,0.55194
183,0.26754,0.14553,0.03789,0.34166,0.00000,0.52131
184,0.25816,0.12400,0.01377,0.34352,0.00000,0.51031
185,0.25502,0.12226,0.01471,0.34056,0.00000,0.51173
186,0.25454,0.12275,0.01465,0.34032,0.00000,0.51170
187,0.24839,0.11945,0.01346,0.33130,0.00000,0.51455
188,0.24612,0.11782,0.01127,0.32385,0.00000,0.51224
189,0.25858,0.14887,0.03961,0.29116,1.00000,0.44860
190,0.28118,0.17861,0.02506,0.27112,0.00000,0.37826
191,0.29651,0.17882,0.02840,0.29483,0.00000,0.35731
192,0.28999,0.18688,0.05345,0.29406,0.00000,0.37467
193,0.30508,0.17482,0.06168,0.34362,1.00000,0.51440
194,0.30922,0.17219,0.02862,0.36326,0.00000,0.52508
195,0.32384,0.17180,0.02475,0.38192,0.00000,0.52512
196,0.31936,0.17355,0.03684,0.37925,0.00000,0.52018
197,0.31224,0.16419,0.03283,0.36361,0.00000,0.51018
198,0.38327,0.20177,0.06953,0.34648,1.00000,0.36782
199,0.45259,0.24933,0.02165,0.35830,0.00000,0.23145
200,0.44963,0.25093,0.03056,0.35642,0.00000,0.23849
201,0.32384,0.19082,0.05210,0.37850,1.00000,0.42633
202,0.30027,0.17836,0.02169,0.38622,0.00000,0.46417
203,0.31697,0.17888,0.04141,0.39858,0.00000,0.47042
204,0.32370,0.17543,0.06585,0.39367,0.00000,0.49326
205,0.34218,0.15463,0.07656,0.37578,0.00000,0.45515
206,0.32543,0.15701,0.08913,0.36727,1.00000,0.42894
207,0.28028,0.17688,0.05865,0.35188,0.00000,0.39067
208,0.29403,0.18881,0.09147,0.34432,1.00000,0.41834
209,0.29267,0.20286,0.11817,0.34764,0.00000,0.36233
210,0.31910,0.11860,0.10455,0.41463,0.00000,0.55664
211,0.26041,0.14772,0.07280,0.41863,0.00000,0.33457
212,0.30548,0.19370,0.05969,0.50060,1.00000,0.24859
213,0.38674,0.23434,0.02289,0.53761,0.00000,0.26452
214,0.33801,0.15048,0.07819,0.36759,1.00000,0.49508
215,0.46827,0.17100,0.12601,0.34939,1.00000,0.37131
216,0.60931,0.20415,0.07642,0.33703,2.00000,0.20077
217,0.59889,0.18813,0.03919,0.40525,0.00000,0.17205
218,0.64899,0.15770,0.04659,0.38145,0.00000,0.13041
219,0.57985,0.16604,0.04969,0.40770,0.00000,0.14537
220,0.50951,0.16753,0.04294,0.40549,0.00000,0.16556
